"DisplayName","DistinguishedName","Enabled","GivenName","Name","ObjectClass","ObjectGUID","SamAccountName","SID","Surname","UserPrincipalName"
"Richard Smith","CN=Richard Smith,OU=IT,OU=ADMINISTRATION,OU=USERS,OU=KCC,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","True","Richard","Richard Smith","user","21a280c2-a6b7-4036-931b-dcceffa0cdae","richardsmith","S-1-5-21-3260797174-3569655007-1560041723-1104","Smith","richardsmith@cimitrademo.com"
"Adelle Delaney","CN=Adelle Delaney,OU=IT,OU=ADMINISTRATION,OU=USERS,OU=KCC,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","True","Adelle","Adelle Delaney","user","3e485d9f-957c-40a2-9243-46302f5562c3","adelledelaney","S-1-5-21-3260797174-3569655007-1560041723-1105","Delaney","adelldelaney@cimitrademo.com"
,"CN=Carl Moser,OU=ADMINISTRATION,OU=USERS,OU=KCC,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","True","Carl","Carl Moser","user","6230f6bf-8ea5-47ae-9fbf-1ab0384b9eea","carlmoser","S-1-5-21-3260797174-3569655007-1560041723-1107","Moser",
,"CN=Jane Doe,OU=ADMINISTRATION,OU=USERS,OU=KCC,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","False","Jane","Jane Doe","user","4c7f80eb-6034-4fed-9719-890892a1d797","janedoe","S-1-5-21-3260797174-3569655007-1560041723-1119","Doe",
,"CN=Jessica Brown,OU=ADMINISTRATION,OU=USERS,OU=KCC,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","True","Jessica","Jessica Brown","user","04b5699a-2ca4-4c9e-8efc-105e55513356","jessicabrown","S-1-5-21-3260797174-3569655007-1560041723-1140","Brown",
,"CN=Tay Kratzer,OU=ADMINISTRATION,OU=USERS,OU=KCC,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","True","Tay","Tay Kratzer","user","8d0fca47-9dcb-4631-bb2f-bbd58dd21362","taykratzer","S-1-5-21-3260797174-3569655007-1560041723-1141","Kratzer",
,"CN=Irina Kratzer,OU=ADMINISTRATION,OU=USERS,OU=KCC,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","True","Irina","Irina Kratzer","user","9c27713c-64b9-4514-ba29-f22c281d9bb9","irinakratzer","S-1-5-21-3260797174-3569655007-1560041723-1143","Kratzer",
,"CN=John Doe,OU=ADMINISTRATION,OU=USERS,OU=KCC,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","True","John","John Doe","user","db8ca7fa-aa5e-4e94-8fc4-0a85ab1bfca5","johndoe","S-1-5-21-3260797174-3569655007-1560041723-1151","Doe",
,"CN=Mike Smith,OU=ADMINISTRATION,OU=USERS,OU=KCC,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","False","Mike","Mike Smith","user","ecd78004-ae83-4297-95de-85ff68d35f9d","mikesmith","S-1-5-21-3260797174-3569655007-1560041723-1155","Smith",
,"CN=Jessie Cortez,OU=ADMINISTRATION,OU=USERS,OU=KCC,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","True","Jessie","Jessie Cortez","user","cc480742-b158-4f46-9b0d-dce90ced588c","jessiecortez","S-1-5-21-3260797174-3569655007-1560041723-1157","Cortez",
